Target Buggy Module,Action Rule Guidance (with LLM),Test Case,Status,Pass test after 10 trials,Fail test after 10 trials,Success Rate
org.gjt.sp.jedit.gui.DockableWindowManager.java,"`DockableWindowManager` shows signs of excessive outward coordination. In this jEdit module, the safer fix is to introduce a narrow internal helper that centralizes repeated external calls, so that `DockableWindowManager` keeps the control flow while the helper owns the integration details.

```java
// jEdit-oriented direction for DockableWindowManager
final class DockableLayoutState {
    void prepare(...) { /* collect and normalize inputs */ }
    void execute(...) { /* encapsulate repeated external/service calls */ }
}

public class DockableWindowManager {
    private final dockableLayoutState helper = new DockableLayoutState();

    public void registerDockable(...) {
        helper.prepare(...);
        helper.execute(...);
    }
}
```

For `DockableWindowManager`, prioritize collapsing duplicated call chains, moving validation into one place, and shrinking long workflow methods. The goal is not to add another abstraction layer everywhere, but to make the core `DockableWindowManager` path easier to reason about and test with the existing jEdit test case.",DockableWindowManagerTest.java,PASS,10,0,1
org.gjt.sp.jedit.gui.DockableWindowManager.java,"Please revise `DockableWindowManager` using jEdit-specific behavior rather than generic cleanup. Focus on the bug-prone paths covered by the current test case: validate null-sensitive inputs, preserve existing editor semantics, and keep state transitions explicit.

Practical checks for `DockableWindowManager`:
1. guard invalid or stale inputs before mutating shared state;
2. keep one entry point for the main workflow and move side effects into private helpers;
3. preserve existing jEdit conventions for UI/VFS/buffer interaction in this file;
4. add comments only where an invariant or ordering constraint is non-obvious.

Use small, behavior-preserving edits around `registerDockable`, `showDockable`, and `hideDockable` style workflows instead of broad rewrites.",DockableWindowManagerTest.java,PASS,5,5,0.5
org.gjt.sp.jedit.options.GlobalOptions.java,"`GlobalOptions` appears tightly coupled to too many concrete collaborators. In jEdit, a practical fix is to depend on small internal abstractions or injected collaborators for the high-churn integration points, while keeping `GlobalOptions` responsible only for orchestration.

```java
// jEdit-oriented direction for GlobalOptions
interface OptionPanelRegistryService {
    void buildOptionPanels(...);
}

public class GlobalOptions {
    private final OptionPanelRegistryService service;

    public GlobalOptions(OptionPanelRegistryService service) {
        this.service = service;
    }

    public void loadOptionValues(...) {
        service.buildOptionPanels(...);
    }
}
```

In this file, replace direct construction of concrete services inside hot paths, isolate plugin/VFS/UI dependencies behind one seam, and keep jEdit-specific policies inside `GlobalOptions` instead of scattering them across many direct calls.",GlobalOptionsTest.java,PASS,10,0,1
org.gjt.sp.jedit.options.GlobalOptions.java,"Please revise `GlobalOptions` using jEdit-specific behavior rather than generic cleanup. Focus on the bug-prone paths covered by the current test case: validate null-sensitive inputs, preserve existing editor semantics, and keep state transitions explicit.

Practical checks for `GlobalOptions`:
1. guard invalid or stale inputs before mutating shared state;
2. keep one entry point for the main workflow and move side effects into private helpers;
3. preserve existing jEdit conventions for UI/VFS/buffer interaction in this file;
4. add comments only where an invariant or ordering constraint is non-obvious.

Use small, behavior-preserving edits around `buildOptionPanels`, `loadOptionValues`, and `saveOptionValues` style workflows instead of broad rewrites.",GlobalOptionsTest.java,PASS,6,4,0.6
org.gjt.sp.jedit.search.SearchAndReplace.java,"`SearchAndReplace` shows signs of excessive outward coordination. In this jEdit module, the safer fix is to introduce a narrow internal helper that centralizes repeated external calls, so that `SearchAndReplace` keeps the control flow while the helper owns the integration details.

```java
// jEdit-oriented direction for SearchAndReplace
final class SearchRequest {
    void prepare(...) { /* collect and normalize inputs */ }
    void execute(...) { /* encapsulate repeated external/service calls */ }
}

public class SearchAndReplace {
    private final searchRequest helper = new SearchRequest();

    public void normalizeSearchOptions(...) {
        helper.prepare(...);
        helper.execute(...);
    }
}
```

For `SearchAndReplace`, prioritize collapsing duplicated call chains, moving validation into one place, and shrinking long workflow methods. The goal is not to add another abstraction layer everywhere, but to make the core `SearchAndReplace` path easier to reason about and test with the existing jEdit test case.",SearchAndReplaceTest.java,PASS,8,2,0.8
org.gjt.sp.jedit.search.SearchAndReplace.java,"Review `SearchAndReplace` for jEdit-specific edge cases, especially around search option normalization, match execution, and replace workflow coordination. The main goal is to make failure handling explicit without changing the externally visible behavior.

Focus your fix on:
- null or stale objects crossing subsystem boundaries;
- invalid index/range/state checks before the main action runs;
- ordering constraints between `normalizeSearchOptions`, `findNextMatch`, and `replaceCurrentMatch`;
- early returns for unsupported states instead of deep nested branching.

A good patch for `SearchAndReplace` should make the preconditions obvious, isolate exceptional handling in a helper method, and keep the normal path short.",SearchAndReplaceTest.java,PASS,5,5,0.5
org.gjt.sp.jedit.browser.VFSBrowser.java,"`VFSBrowser` appears tightly coupled to too many concrete collaborators. In jEdit, a practical fix is to depend on small internal abstractions or injected collaborators for the high-churn integration points, while keeping `VFSBrowser` responsible only for orchestration.

```java
// jEdit-oriented direction for VFSBrowser
interface BrowserSessionService {
    void loadDirectory(...);
}

public class VFSBrowser {
    private final BrowserSessionService service;

    public VFSBrowser(BrowserSessionService service) {
        this.service = service;
    }

    public void refreshDirectory(...) {
        service.loadDirectory(...);
    }
}
```

In this file, replace direct construction of concrete services inside hot paths, isolate plugin/VFS/UI dependencies behind one seam, and keep jEdit-specific policies inside `VFSBrowser` instead of scattering them across many direct calls.",VFSBrowserTest.java,PASS,10,0,1
org.gjt.sp.jedit.browser.VFSBrowser.java,"Refactor `VFSBrowser` in a way that matches jEdit’s architecture. This class currently appears too large for its role in directory navigation, view refresh, and VFS interaction. Instead of a generic size reduction, extract one cohesive helper around the most change-prone responsibility and keep `VFSBrowser` as the coordinator.

Suggested direction:
- keep public entry points stable;
- extract one helper for state preparation or validation;
- break long methods into `loadDirectory`, `refreshDirectory`, and `selectEntry` level private steps;
- avoid introducing unrelated utility classes that hide jEdit semantics.

The preferred result is smaller methods, clearer state transitions, and a patch that still reads like jEdit code rather than a framework-neutral example.",VFSBrowserTest.java,PASS,6,4,0.6
org.gjt.sp.jedit.textarea.JEditTextArea.java,"`JEditTextArea` shows signs of excessive outward coordination. In this jEdit module, the safer fix is to introduce a narrow internal helper that centralizes repeated external calls, so that `JEditTextArea` keeps the control flow while the helper owns the integration details.

```java
// jEdit-oriented direction for JEditTextArea
final class SelectionState {
    void prepare(...) { /* collect and normalize inputs */ }
    void execute(...) { /* encapsulate repeated external/service calls */ }
}

public class JEditTextArea {
    private final selectionState helper = new SelectionState();

    public void moveCaret(...) {
        helper.prepare(...);
        helper.execute(...);
    }
}
```

For `JEditTextArea`, prioritize collapsing duplicated call chains, moving validation into one place, and shrinking long workflow methods. The goal is not to add another abstraction layer everywhere, but to make the core `JEditTextArea` path easier to reason about and test with the existing jEdit test case.",JEditTextAreaTest.java,PASS,10,0,1
org.gjt.sp.jedit.textarea.JEditTextArea.java,"Please revise `JEditTextArea` using jEdit-specific behavior rather than generic cleanup. Focus on the bug-prone paths covered by the current test case: validate null-sensitive inputs, preserve existing editor semantics, and keep state transitions explicit.

Practical checks for `JEditTextArea`:
1. guard invalid or stale inputs before mutating shared state;
2. keep one entry point for the main workflow and move side effects into private helpers;
3. preserve existing jEdit conventions for UI/VFS/buffer interaction in this file;
4. add comments only where an invariant or ordering constraint is non-obvious.

Use small, behavior-preserving edits around `moveCaret`, `setSelection`, and `scrollToCaret` style workflows instead of broad rewrites.",JEditTextAreaTest.java,PASS,6,4,0.6
org.gjt.sp.jedit.buffer.BufferIORequest.java,"The class `BufferIORequest` appears too broad for its current responsibilities in buffer load/save orchestration, I/O validation, and error reporting. To reduce defect risk, keep the public workflow small and move mutable state and branch-heavy logic into focused collaborators. In jEdit terms, prefer a thin coordinator in `BufferIORequest` and delegate intermediate state handling to a helper such as `IOContext`.

```java
// jEdit-oriented direction for BufferIORequest
final class IOContext {
    void validate() { /* invariants for buffer load/save orchestration, I/O validation, and error reporting */ }
    void updateFromInput(...) { /* normalize arguments and state */ }
}

public class BufferIORequest {
    private final iOContext state = new IOContext();

    public void readBuffer(...) {
        state.validate();
        doReadBuffer(...);
    }

    private void doReadBuffer(...) { /* focused operation */ }
    private void writeBuffer(...) { /* split another branch-heavy path */ }
}
```

When editing this file, avoid adding more flags or shared mutable fields to `BufferIORequest`. Instead, extract branch-heavy blocks, isolate state validation, and keep each method focused on one jEdit action path.",BufferIORequestTest.java,PASS,8,2,0.8
org.gjt.sp.jedit.buffer.BufferIORequest.java,"Review `BufferIORequest` for jEdit-specific edge cases, especially around buffer load/save orchestration, I/O validation, and error reporting. The main goal is to make failure handling explicit without changing the externally visible behavior.

Focus your fix on:
- null or stale objects crossing subsystem boundaries;
- invalid index/range/state checks before the main action runs;
- ordering constraints between `readBuffer`, `writeBuffer`, and `handleIOException`;
- early returns for unsupported states instead of deep nested branching.

A good patch for `BufferIORequest` should make the preconditions obvious, isolate exceptional handling in a helper method, and keep the normal path short.",BufferIORequestTest.java,FAIL,4,6,0.4
